[2026-03-16T10:50:22+08:00] === 自动调度器监控启动 ===
[2026-03-16T10:50:22+08:00] 调度器未运行，清理PID文件
[2026-03-16T10:50:22+08:00] 重启调度器...
[2026-03-16T10:50:22+08:00] 启动自动资源分配调度器...
[2026-03-16T12:47:03+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:48:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:49:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:50:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:51:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:52:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:53:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:54:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:55:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:56:04+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:57:05+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:58:05+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:59:05+08:00] 调度器正常运行，PID: 35915
[2026-03-16T13:00:05+08:00] 调度器正常运行，PID: 35915
[2026-03-16T13:01:05+08:00] 调度器正常运行，PID: 35915
[2026-03-16T13:02:05+08:00] 调度器正常运行，PID: 35915
[2026-03-16T13:03:05+08:00] 调度器正常运行，PID: 35915
[2026-03-16T13:04:05+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:04:05+08:00] 重启调度器...
[2026-03-16T13:04:05+08:00] 启动自动资源分配调度器...
[2026-03-16T13:04:05+08:00] 调度器已启动，PID: 47592
[2026-03-16T13:05:05+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:05:05+08:00] 重启调度器...
[2026-03-16T13:05:06+08:00] 启动自动资源分配调度器...
[2026-03-16T13:05:06+08:00] 调度器已启动，PID: 47698
[2026-03-16T13:06:06+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:06:06+08:00] 重启调度器...
[2026-03-16T13:06:06+08:00] 启动自动资源分配调度器...
[2026-03-16T13:06:06+08:00] 调度器已启动，PID: 47889
[2026-03-16T13:07:06+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:07:06+08:00] 重启调度器...
[2026-03-16T13:07:06+08:00] 启动自动资源分配调度器...
[2026-03-16T13:07:06+08:00] 调度器已启动，PID: 48706
[2026-03-16T13:08:06+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:08:06+08:00] 重启调度器...
[2026-03-16T13:08:06+08:00] 启动自动资源分配调度器...
[2026-03-16T13:08:06+08:00] 调度器已启动，PID: 48806
[2026-03-16T13:09:06+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:09:06+08:00] 重启调度器...
[2026-03-16T13:09:06+08:00] 启动自动资源分配调度器...
[2026-03-16T13:09:06+08:00] 调度器已启动，PID: 49609
[2026-03-16T13:10:07+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:10:07+08:00] 重启调度器...
[2026-03-16T13:10:07+08:00] 启动自动资源分配调度器...
[2026-03-16T13:10:07+08:00] 调度器已启动，PID: 49901
[2026-03-16T13:11:07+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:11:07+08:00] 重启调度器...
[2026-03-16T13:11:07+08:00] 启动自动资源分配调度器...
[2026-03-16T13:11:07+08:00] 调度器已启动，PID: 50081
[2026-03-16T13:12:07+08:00] 调度器未运行，清理PID文件
[2026-03-16T13:12:07+08:00] 重启调度器...
[2026-03-16T13:12:07+08:00] 启动自动资源分配调度器...
[2026-03-16T13:12:07+08:00] 调度器已启动，PID: 50262
[2026-03-16T13:13:07+08:00] 调度器正常运行，PID: 50791
[2026-03-16T13:14:07+08:00] 调度器正常运行，PID: 50791
[2026-03-16T13:15:07+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:16:07+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:17:07+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:18:08+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:19:08+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:20:08+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:21:08+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:22:08+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:23:08+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:24:08+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:25:09+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:26:09+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:27:09+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:28:09+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:29:09+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:30:09+08:00] 调度器正常运行，PID: 50983
[2026-03-16T13:31:09+08:00] 调度器正常运行，PID: 50983
